"ERP_FAMILY","APPLICATION_ID","BUSINESS_OBJECT","ERP_INTERFACE_OPTIONS_ID","UCM_ACCOUNT","LOAD_JOB_NAME","IMPORT_JOB_NAME","CONTROL_FILE_NAME","INTERFACE_TABLE_NAMES"
"SCM","10008","Source Sales Order","72","scm/sourceSalesOrder/import","","/oracle/apps/ess/scm/doo/decomposition/receiveTransform/receiveSalesOrder;ImportOrdersJob","DooOrderBillingPlansInt.ctl","DOO_ORDER_BILLING_PLANS_INT"
"SCM","10008","Source Sales Order","72","scm/sourceSalesOrder/import","","/oracle/apps/ess/scm/doo/decomposition/receiveTransform/receiveSalesOrder;ImportOrdersJob","DooOrderManualPriceAdjInt.ctl","DOO_ORDER_MANUAL_PRICE_ADJ_INT"
"SCM","10008","Source Sales Order","72","scm/sourceSalesOrder/import","","/oracle/apps/ess/scm/doo/decomposition/receiveTransform/receiveSalesOrder;ImportOrdersJob","DooOrderHdrsAllEffBInt.ctl","DOO_ORDER_HDRS_ALL_EFF_B_INT"
"SCM","10008","Source Sales Order","72","scm/sourceSalesOrder/import","","/oracle/apps/ess/scm/doo/decomposition/receiveTransform/receiveSalesOrder;ImportOrdersJob","DooOrderLinesAllEffBInt.ctl","DOO_ORDER_LINES_ALL_EFF_B_INT"
"SCM","10008","Source Sales Order","72","scm/sourceSalesOrder/import","","/oracle/apps/ess/scm/doo/decomposition/receiveTransform/receiveSalesOrder;ImportOrdersJob","DooProjectsInt.ctl","DOO_PROJECTS_INT"
"SCM","10008","Source Sales Order","72","scm/sourceSalesOrder/import","","/oracle/apps/ess/scm/doo/decomposition/receiveTransform/receiveSalesOrder;ImportOrdersJob","DooOrderTermsInt.ctl","DOO_ORDER_TERMS_INT"
"SCM","10008","Source Sales Order","72","scm/sourceSalesOrder/import","","/oracle/apps/ess/scm/doo/decomposition/receiveTransform/receiveSalesOrder;ImportOrdersJob","DooOrderChargeTiersInt.ctl","DOO_ORDER_CHARGE_TIERS_INT"
"SCM","10008","Orchestration Order","142","scm/orderFulfillmentResponse/import","","/oracle/apps/ess/scm/doo/taskLayer/common;ImportOrderFulfillmentResponseJob","DooFsFulfillLinesInt.ctl","DOO_FS_FULFILL_LINES_INT"
"SCM","10008","Orchestration Order","142","scm/orderFulfillmentResponse/import","","/oracle/apps/ess/scm/doo/taskLayer/common;ImportOrderFulfillmentResponseJob","DooFsMessagesInt.ctl","DOO_FS_MESSAGES_INT"
"SCM","10008","Orchestration Order","142","scm/orderFulfillmentResponse/import","","/oracle/apps/ess/scm/doo/taskLayer/common;ImportOrderFulfillmentResponseJob","DooFsFulfillLinesEffBInt.ctl","DOO_FS_FULFILL_LINES_EFF_B_INT"
"SCM","10008","Orchestration Order","142","scm/orderFulfillmentResponse/import","","/oracle/apps/ess/scm/doo/taskLayer/common;ImportOrderFulfillmentResponseJob","DooFsResponseHeadersInt.ctl","DOO_FS_RESPONSE_HEADERS_INT"
"SCM","10008","Orchestration Order","142","scm/orderFulfillmentResponse/import","","/oracle/apps/ess/scm/doo/taskLayer/common;ImportOrderFulfillmentResponseJob","DooFsFulfillLineDtlsInt.ctl","DOO_FS_FULFILL_LINE_DTLS_INT"
